Do you consent to the use of the information provided in this form for analysis and research purposes? Your data will be handled confidentially and used solely for academic or research objectives. [ Put it on the top],Age Group,Gender,College Name ,Degree ,Subject of Specialisation [With which subject you are pursing the degree],Percentage obtained in Class X,Are you involved with any co-curricular activities? Please mention,Favourite Subject(s) till Class X and marks obtained in that subject,Percentage obtained in Class XII,Favourite Subject(s) till Class XII and marks obtained in that subject,What was your motivation/factors behind choosing your current Stream of study?,How much you are satisfied with your chosen Stream of study,How much do you feel this degree is easy for you?,Your current CGPA?,"Which profession you would like to pursue in future ? (e.g., data scientist , modelling, entrepreneurship) ",What is your preferred Working Sector?(E.g.private sector or public sector or IT sector e.t.c),Do you feel financially constrained while choosing your career in higher studies? ,What is your expected salary (in Lakhs Per Annum) ,By what age do you want to settle in your career?,How many earning people are there in your family? ,Annual Family Income (appx),Parent's occupation,Highest Qualification of your parents,How much can you invest on your in education ? (in lakhs),On scale 1-5 what do you think about the influence from your parents towards you for choosing your career path,On scale 1-5 what do you think about the influence from your friends towards you for choosing your career path,On scale 1-5 what do you think about the influence from your teacher/mentor towards you for choosing your career path,On scale 1-5 what do you think your career choice has been affected by social or cultural expectations.,On a scale of 1-5 how much social media has affected your career choices in recent days.,On a scale of 1-5 what will you rate your chosen career as a stable one. [# not required],Do you feel that Your choosen degree aligns with your personal choice
"Yes, I consent",18 - 20,Male,Jadavpur University ,B Tech.,Engineering ,90 - 100,"Music,acting","Biology,97",80 - 90,"Bio, 97",Being an Engineer,4,2,6,"Engineering,model",Private ,No,10 lpa,26,1,10 - 12 Lakhs,Housewife,"Engineering,lawyer",Na,3,4,2,3,3,5,3
"Yes, I consent",20 - 22,Female,Sister Nivedita University ,MA,English,50 - 60,No,English-82,60-70,English-72,"I am from bengali medium background. I have struggled a lot to become a little good in English and the credit goes to my Dadu. The guidance I got from my dadu , I want to give it to people who need it badly. I want to become a teacher.",5,1,8,Professor ,Academia ,Maybe,3-4 lakhs,27-30,2,below 3 Lakhs,Father is Businessman  Mother is Home maker,12th Pass,I dont know honestly ,1,1,1,5,1,5,5
"Yes, I consent",20 - 22,Female,Sister Nivedita University,BA,English,80 - 90,No,"Science: 80ish , English: 85ish",70 - 80,English- 80ish,Love for teaching,4,3,8,Professor,Corporate,Yes,3-4LPA,25,0,3 -  7  Lakhs,Landlords,Masters,2LPA,5,1,2,5,2,5,3
"Yes, I consent",20 - 22,Male,UNIVERSITY OF CALCUTTA,MA,ENGLISH,80 - 90,"MARTIAL ARTS- KARATE, FRENCH LANGUAGE ",HISTORY & GEOGRAPHY- 91 ,90 - 100,"BIOLOGY - 96 , PHYSICS- 94, ENGLISH- 94","LITERATURE and LITERARY ARTS have always been near my heart, even though I studied SCIENCE for my 12th grade and did quite well, scoring 94.25% in the ISC exams. By choosing literature, I followed my passion and subsequently came first in my college. ",5,5,7,Yet to discover my interests in the professional field.,Private,No,20000-25000,30-35,1,3 -  7  Lakhs,RETIRED CTO- COMMERCIAL TAX OFFICER FOR STATE,Graduate,10,3,1,5,1,1,3,5
"Yes, I consent",20 - 22,Male,Sister Nivedita University,BA,English,90 - 100,"Music, Dance, Acting ",Mathematics - 96,70 - 80,English- 82,Pursuing arts and understand my purpose in life.,5,4,7,Actor ,Private sector,No,5-6 lpa,25,One,7 - 10 Lakhs,Business,Masters in Science ,3-6 ,4,5,4,4,1,1,4
"Yes, I consent",18 - 20,Male,Sister Nivedita University ,BA,English,70 - 80,"Music, Dance, Acting",English - 91,80 - 90,English - 82,I've studied in an English medium school,3,2,5,Content writing,Public sector,Maybe,50,21,1,3 -  7  Lakhs,Retired sub inspector ,BA,1,3,4,2,1,3,3,4
"Yes, I consent",20 - 22,Female,Sister Nivedita University,BA,English,50 - 60,No,"English - 57 , Social Science - 50",60-70,English - 64,Nothing,3,3,4,Entrepreneurship,Private,Maybe,50000,25,2,7 - 10 Lakhs,"Father - business man , Mother - govt job",12th pass,3 lakh,3,3,3,3,3,3,3
"Yes, I consent",20 - 22,Female,Gokhale Memorial Girls’ College,BA,English,90 - 100,Dancing and singing,English-98,90 - 100,English-96,Love for the subject and keenness to know more,4,5,7,Investment banker,IT,Yes,3.9,28,1,15 Lakhs above,IT sector ,Msc,0,3,1,1,4,1,5,3
"Yes, I consent",20 - 22,Female,St Xaviers College Autonomous Kolkata ,BA,English,90 - 100,Active member of English and Hindi Society.,Biology- 99,90 - 100,Sociology- 98,"I’ve always had a deep enthusiasm for English, and the fact that it aligns well with my future career goal of becoming a journalist makes it all the more rewarding.",4,4,7,Journalist ,Private Sector,No,2 to 3,27-30,3,3 -  7  Lakhs,Teacher.,College ,10-15,2,2,2,3,3,3,4
"Yes, I consent",20 - 22,Female,Sister Nivedita University ,MA,English ,70 - 80,Dance ,English -81,70 - 80,English -87,To proceed with my favourite subject ,5,3,6,Teacher ,N.Q.,No,600000,28,1,3 -  7  Lakhs,Chartered Accountant ,Masterss,1,5,5,5,4,4,5,5
"Yes, I consent",20 - 22,Female,Sister Nivedita university ,MA,English ,70 - 80,No,English -82,80 - 90,English -88,Being a professor ,4,3,6,Professor ,University ,No,13 lkh/p.a,25,1,below 3 Lakhs,Business ,Honours graduate,Less than 2lkh,5,1,2,3,2,4,4
"Yes, I consent",18 - 20,Male,Techno International New Town ,B Tech.,English ,80 - 90,Yes .... Guiterist ,Math-98,70 - 80,Biology - 74,Childhood dream ,3,2,7,Modeling and software developer ,IT sector ,Maybe,5,21,1,10 - 12 Lakhs,Business ,Graduation ,8,4,1,2,5,3,2,4
"Yes, I consent",18 - 20,Female,Sister Nivedita University ,BA,English ,70 - 80,No,English - 68,60-70,English -65,I pursued English because I want to be a Professor in future ,4,3,5,Professor or Teacher,Private sector ,Maybe,200000,23,2,3 -  7  Lakhs,Business ,Matric Pass ,7-8 lakhs,5,1,4,4,5,4,4
"Yes, I consent",20 - 22,Female,Sister Nivedita University ,BA,English ,50 - 60,Dancing ,English - 56,70 - 80,English -82,"Literature, gothic novels, romance novels.",5,3,6,Teaching ,Private sector ,Maybe,5 lakhs per annum ,25-26,1,7 - 10 Lakhs,Railway Employee,Graduation ,2-3,1,5,1,3,5,5,5
"Yes, I consent",20 - 22,Female,Jadavpur University ,BA,English ,90 - 100,"Recitation, chess and drama",Biology-96,80 - 90,Biology-93,"Wanted to pursue literature as there's so much to read and so little time, might as well make the most of it. ",4,3,7,Professor,University ,No,18 lpa,25,Four,12 - 15 Lakhs,Govt. Service,MSC.,10 lakhs,2,3,3,3,3,3,4
"Yes, I consent",18 - 20,Female,Jadavpur University ,BA,English ,90 - 100,Painting ,Biology- 100,90 - 100,Mathematics- 95,I wasn't sure want career I wanted to pursue and my current degree is quite flexible,4,2,7,"teaching, researching or maybe entrepreneurship ",private,Maybe,6-12 lakhs ,32,1,3 -  7  Lakhs,Business ,Undergraduation,2-5 lakhs ,3,3,3,3,3,2,4
"Yes, I consent",22 - 25,Female,Maharaja Manindra Chandra College ,BA,English ,90 - 100,Kabaddi ,English- 96 Maths-100,90 - 100,English-94 Biology- 93,I wanted to pursue it.,5,5,7,Data Analytics ,Private Sector ,No,10L+,28,3,15 Lakhs above,Retired Central Government Employee ,Graduation ,4L+,5,5,5,1,1,5,5
"Yes, I consent",18 - 20,Queer Feminine ,Jadavpur University ,BA,English ,90 - 100,Music/Writing ,Biology - 100,90 - 100,Psychology - 98,Broader avenues to choose a career path from,4,3,6,Undecided ,Public sector ,Maybe,4,26-28,1,3 -  7  Lakhs,Service ,PhD,1,3,2,4,3,4,3,5
"Yes, I consent",18 - 20,Female,Jadavpur University ,BA,English ,80 - 90,I'm fond of writing poems,English - 90,90 - 100,English - 100,I always wanted to know the depths of an author's despair and glee of his/her/their heart. I felt like reading literature would make me understand people and life more easily.,5,4,7,Teaching ,public or private sector ,Maybe,180000,26,1,below 3 Lakhs,Serviceman,Graduation ,500000,3,2,2,1,1,3,5
"Yes, I consent",18 - 20,Female,St. Xavier's University ,BA,English ,90 - 100,Football,English- 85,80 - 90,English- 85,"Fascinated by the knowledge of literary texts, music and movies
",4,3,0,Sportsperson ,Public sector,Yes,9 lakhs ,26-27,2,15 Lakhs above,Teacher and Service in HHI,B.com,Investing as necessary,1,4,2,5,4,5,2
"Yes, I consent",18 - 20,Female,Parul University,BDes,Fashion Design,70 - 80,"sports,editing,photography",Social Science - 75,80 - 90,CommercialArt - 100,Interest in art and design,3,2,0,Fashion Designing,private sector,Maybe,1-2 lakhs,26,2,10 - 12 Lakhs,Teaching,Phd and BEd,12 lakhs,4,3,4,3,2,3,4
"Yes, I consent",20 - 22,Female,IEM ,BBA,Finance,80 - 90,Content writing ,Mathematics - 99,70 - 80,Economics - 80,It's was a the only option,3,5,9,Financial services ,Government ,Maybe,3.5 lakhs ,28,1,10 - 12 Lakhs,Government service ,Graduation ,10 lakhs ,4,1,3,4,2,2,2
"Yes, I consent",20 - 22,Male,The Bhawanipore Education Society ,B Com.,Finance,80 - 90,Playing Cricket ,Economics - 89,80 - 90,Economics 92,To get knowledge regarding Accounting & Finance,4,4,6,Cost & Management Accountant,Private Sector ,Yes,8-10L,25,1,3 -  7  Lakhs,Business,12th Standard,2-4L,4,3,2,2,1,4,5
"Yes, I consent",20 - 22,Male,University of Engineering and Management ,BBA,Finance,80 - 90,,Commerce - 85,70 - 80,Commerce - 82,Because I love to know more about the business & corporate world,4,3,9,Financial position ,"Private, Public or IT",Maybe,3.9,By age 30,1,below 3 Lakhs,Business ,B.Com (Hons.),Not sure ,4,4,4,2,3,4,4
"Yes, I consent",20 - 22,Male,Heritage college ,B Com.,Finance ,90 - 100,,Economics ,80 - 90,Accounts ,No option was found ,2,3,7,Chattered Accountant,Finance,Maybe,Not sure,25,1,10 - 12 Lakhs,Business ,Graduate ,Not sure ,3,1,2,1,1,5,4
"Yes, I consent",20 - 22,Male,University of Calcutta,B Com.,Finance and Maths,80 - 90,Social Justice Club and Event Organizing ,Mathematics,80 - 90,Accountancy,To pursue a career in Finance and Economics.,3,3,7,"Accounting,Audit and Taxation",Private Sector,No,7 - 9,24 to 26,2,10 - 12 Lakhs,Government Employee,MBA,12 to 15,3,3,4,4,2,3,3
"Yes, I consent",18 - 20,Male,Seth anandaram Jaipuria ,B Com.,Financial accounting ,70 - 80,Football ,Sst 79,90 - 100,Bst - 100,Taka,4,4,8,Business,Private,Yes,4,32,0,below 3 Lakhs,Nil,Graduate ,1,1,1,1,1,1,4,3
"Yes, I consent",20 - 22,Male,"Vivekananda College, Thakurpukur ",B.Sc / BS / BCA,Geography,70 - 80,,"Geography - 80 , History - 78",90 - 100,"Geography - 99 , Economics - 95","I'm interested in the field of Geography and Geospatial techniques, Cartography ",5,4,7,GIS Analyst,Public Sector,No,2-3 LPA,28,1,below 3 Lakhs,"Father- Retired, Mother- Housewife",Graduation degree,7-8 lakh,1,1,2,1,1,4,5
"Yes, I consent",18 - 20,Female,Loreto College ,B.Sc / BS / BCA,Geography ,90 - 100,Yes. Dancing ,"Geography -91, computer -94",90 - 100,"Politicalscience -100, geography -93",It has been my first priority and I am interested in learning the subject ,5,3,0,Civil services ,Public sector ,No,3000000,26-27 ,2,15 Lakhs above,Service ,MBA ,1000000,2,1,2,2,1,5,5
"Yes, I consent",20 - 22,Female,Jadavpur University ,B.Sc / BS / BCA,Geography ,90 - 100,Dancing ,Geography- 99,90 - 100,Chemistry - 99,Favorite subject ,3,4,7,Administrative Officer,Administration ,No,6lakh,30,1,7 - 10 Lakhs,"Father - Teacher , Mother - Homemaker",Masterdegree,2.5 lakh,1,2,3,4,2,5,5
"Yes, I consent",18 - 20,Female,Loreto College,BA,History,90 - 100,"Music, dance, fashion, head of a college society currently",HISTORY- 93,90 - 100,HISTORY - 100,My love towards history and trying to understand the past of the world and learn from it to implement changes in the present and future,5,2,6,Administrative line like upsc or wbcs,Public sector,Maybe,1,25,2,below 3 Lakhs,"Mother- teacher ,father- business",Post graduation,Not sure ,5,5,5,4,2,3,5
"Yes, I consent",20 - 22,Male,"Institute of Engineering and Management, Kolkata ",BBA,HR,70 - 80,Football Team Captain ,Geography ,80 - 90,CLPA,Not Such,4,4,9,Entrepreneurship,Sales & Service,No,5.5,30,2,15 Lakhs above,Business,12th,10,4,4,4,4,4,4,4
"Yes, I consent",20 - 22,Male,"Institute of Engineering and Management, Kolkata ",B Tech.,Information Technology,90 - 100,"Cycling, Swimming, NGO activities",ComputerScience - 100/100,90 - 100,ComputerScience- 95,I like coding,5,5,9,SDE - Software Development Engineer,IT,Yes,4-6,27,1,7 - 10 Lakhs,Chemical Engineer ,"Msc (Physical Chemistry), B. Tech. (Chemical Engineering)",2,3,1,4,1,1,5,5
"Yes, I consent",18 - 20,Male,St. Thomas' College of Engineering and Technology,B Tech.,Information Technology,90 - 100,,Mathematics - 100,80 - 90,Computer Science - 97,Strong interest in coding and building software solutions,4,3,8,Software Developer,IT Sector,No,7 - 10,35,2,15 Lakhs above,Corporate,Undergraduate ,4 - 5,4,2,1,3,4,4,5
"Yes, I consent",20 - 22,Male,ST. THOMAS' COLLEGE OF ENGINEERING & TECHNOLOGY ,B Tech.,Information Technology ,80 - 90,,Mathematics - 94,80 - 90,Mathematics - 93,Coding ,4,2,8,Software Engineer ,IT sector ,Maybe,6-10 ,35,1,3 -  7  Lakhs,Retired ,Graduation ,5,3,4,4,1,1,3,4
"Yes, I consent",18 - 20,Female,"St. Xavier’s College (Autonomous), Kolkata ",MSc / MS,Integrated MSc in Biotechnology ,90 - 100,Dance,Chemistry- 89,90 - 100,Biology- 92,I have always wanted to have a career in research field academia.,4,3,8,Research Scientist,Public sector ,No,10 Lakhs,By 25 years of age,1,3 -  7  Lakhs,Business,Bachelors,1 lakh,4,2,5,4,3,3,5
"Yes, I consent",18 - 20,Female,Shri Shikshayatan College ,BA,Journalism and mass communication ,80 - 90,Theatre ,English - 85,80 - 90,English - 89,Dream to become a journalist ,5,3,7,Journalist ,Private Sector ,Maybe,₹200000,30 years ,1,3 -  7  Lakhs,Service ,Graduate ,1/year,1,1,1,1,1,4,5
"Yes, I consent",18 - 20,Male,Heritage law college ,LLB,Law,80 - 90,"Debate club , moot court ",Bst - 89,80 - 90,Economics-85,By reading various cases ,5,5,7,Lawyer,Litigation ,No,Around 3000,30,4,7 - 10 Lakhs,Business,Graduate,Depending upon the course,1,1,1,1,1,5,5
"Yes, I consent",18 - 20,Female,Calcutta Girls High College,LLB,Law,90 - 100,"Yes, debates and moot courts.",English: 96,90 - 100,English: 96,"To deliver justice, rightfully.",5,3,9,Advocate,Private sector,Maybe,12 lpa,32,1,3 -  7  Lakhs,Business ,BBA,3.5,5,2,5,5,4,4,5
"Yes, I consent",20 - 22,Female,St. Xavier’s University,BA-LLB(H.),Law,90 - 100,"Singing, recitation, painting",Mathematics - 96,90 - 100,Mathematics - 95,My father,5,3,7,Lawyer,Corporate,No,10LPA,25,1,15 Lakhs above,Father - judge; mother - home-maker,College,10 L,3,1,1,2,1,2,5
"Yes, I consent",18 - 20,Female,The West Bengal National University of Juridical Sciences ,LLB,Law,90 - 100,"Singing, dancing, doodling ",SocialScience - 100/100,90 - 100,Physics- 95/100,"I had a genuine interest for the stream, stemming from my love of the subject. ",4,3,7,Advocate,Public Sector ,No,14-16 LPA (as is the average salary of a fresher associate in law firms),By my 30's,2,15 Lakhs above,"Dad: business, mom: housewife ",Undergraduate ,50 lakhs ,2,1,3,4,1,3,5
"Yes, I consent",18 - 20,Female,west bengal national university of juridical sciences ,LLB,law,90 - 100,dance,english - 90,80 - 90,english - 96,no motivation in particular,4,2,7,lawyer,corporate law firm,No,12 lpa,24,1,15 Lakhs above,professor ,phd,currently investing 12l in a 5 yr course ,1,1,1,1,1,4,5
"Yes, I consent",18 - 20,Male,St Xaviers University,LLB,Law,90 - 100,Playing piano,Physics - 97,80 - 90,EnglishLiterature - 90,Fight for social justice and to work for the downtrodden,5,1,7,Litigating Advocate,Nil,No,No salary ,35,1,7 - 10 Lakhs,Engineer,B tech ,As needed,1,1,1,5,1,1,5
"Yes, I consent",18 - 20,Male,St. Xavier's University ,LLB,LAW,70 - 80,No,"PoliticalScience - 82 , English - 91",80 - 90,"Economics - 88 , English - 95",Lineage,4,4,7,Litigation,Public sector,No,6 - 7 lakhs,30,2,15 Lakhs above,Advocacy ,PHD ,10 lakhs,5,2,3,5,4,4,4
"Yes, I consent",20 - 22,Female,St.xaviers university ,B.A.LLB,Law,80 - 90,Dancing ,English 92% and comp 94%,70 - 80,Polsc 89%,I wanted to do it,5,4,7,Judiciary ,Judiciary ,No,20lakhs per annum,By 25,Both parents ,12 - 15 Lakhs,Lawyers ,Law degree ,Min 15lakhs,5,1,2,2,1,5,5
"Yes, I consent",18 - 20,Female,St. Xavier's University ,B Com.,Law,90 - 100,No,,90 - 100,Nil,Forced by parents ,1,1,0,Criminal ,IT,No,200,58,Alone,15 Lakhs above,Bartender ,Class 9 ,15-20 (in rupees),1,1,1,1,1,1,1
"Yes, I consent",18 - 20,Female,Jogesh Chandra Chowdhury law college ,LLB,Law ,60-70,,Geography- 75,80 - 90,Politicalscience- 99,I don't have any specific reason ,4,4,7,Advocacy ,Public sector ,Yes,2lakhs ,25,2,3 -  7  Lakhs,Service ,Graduated ,1 lakh ,5,5,3,1,1,5,4
"Yes, I consent",18 - 20,Female,Presidency University ,B.Sc / BS / BCA,Life sciences ,90 - 100,"Dancing, Drama",Maths: 100,90 - 100,Psychology: 100 Biology: 96,Medical research and ofcourse my family. ,5,3,10,Scientific researcher ,Public ,Yes,completely depends on the job. no expectations as of now. ,30,2,3 -  7  Lakhs,Private job,MA,1,1,2,2,2,4,3,5
"Yes, I consent",20 - 22,Female,Presidency University ,B.Sc / BS / BCA,Life Sciences ,80 - 90,"Dance , Painting , Drama ","Biology - 85 , Maths - 95",90 - 100,Biology - 99 ,"I got good grades , spcly in that particular subject too , so I got the opportunity to study the subject I wanted for completing my graduation.",3,2,7,Entrepreneurship ,Private or public sector ,Maybe,10-12 lpa,26-27 years ,1,12 - 15 Lakhs,Deputy commissioner of GST ( West Bengal Government Revenue Services ) ,Graduation and B.ed ,20 lakh,5,5,4,5,1,5,5
"Yes, I consent",18 - 20,Male,Presidency University ,B.Sc / BS / BCA,Life Sciences ,90 - 100,"Creative Writing, Anchoring, Recitation ",Life Science -99,90 - 100,"Biology-94, Chemistry -90, English -99, Bengali -95",My passion towards the living world that I gained from reading Animal related books since childhood ,4,3,8,Animal Biologist,"Research, Teaching, Social Works ",No,No idea,25,2,3 -  7  Lakhs,Service ,Graduation ,3,3,4,5,3,2,5,5
"Yes, I consent",20 - 22,Female,Presidency University ,B.Sc / BS / BCA,Life sciences ,90 - 100,Painting ,"Biology 98, english 97",90 - 100,Biology 95,I want to know the oceanic ecosystem and what recent anthropogenic activities are harming them,5,4,8,Marine biologist ,Government research institute ,No,9.6,29-32,2,12 - 15 Lakhs,Government services ,Msc,3,3,1,1,2,5,4,5
"Yes, I consent",18 - 20,Male,Presidency University ,B.Sc / BS / BCA,Life sciences ,90 - 100,No,Biology -98,90 - 100,Physics -90,Research purpose ,5,4,6,Professor ,Government ,Yes,80k,30,1,below 3 Lakhs,Survey ,Honours ,0.4 lakhs ,5,5,5,3,2,4,5
"Yes, I consent",18 - 20,Female,INDIAN INSTITUTE OF SCIENCE EDUCATION AND RESEARCH KOLKATA ,BSMS DUAL DEGREE 5 YEARS PROGRAMME,"Major in Earth science, minor in physics. ",90 - 100,Cultural activities(Drama and recitation) and sports: Football mainly,"English - 97, History - 94",80 - 90,Bengali- 92,Sab ghar pe garibi ka chakkar hai babu bhaiya. To be able to do science is the greatest sin in a lower middle class family. You are bound to do science for a living in such cases.,3,4,8,Professor( after completing pgod and post doc in specified field of earth science ,Public. Private is okay too. ,Maybe,9.5 lac pa minimum ,29-30,1,7 - 10 Lakhs,SBI employee,Bsc,5lac to 6lac maximum with help of educational loan,4,2,4,5,4,5,1
"Yes, I consent",20 - 22,Male,Institute of Engineering and Management ,BBA,Management ,50 - 60,,History ,80 - 90,CostingandTaxation-97,Marketing job role ,3,3,8,Marketing manager ,Corporate ,No,5,25,1,10 - 12 Lakhs,Banker ,Masters,8,3,1,1,2,3,3,3
"Yes, I consent",20 - 22,Female,"University of Engineering and Management, Kolkata ",BBA,Management ,80 - 90,Leadership roles,Mathematics-96,60-70,Mathematics- 68,Have no choice,3,4,9,Data Analyst or financial Analyst ,It,Yes,3.5,25,1,7 - 10 Lakhs,Business ,Graduate ,4,3,3,1,2,4,4,2
"Yes, I consent",20 - 22,Male,Institute of engineering and management ,BBA,Management ,70 - 80,Graphics designer ,Maths - 96,80 - 90,ComputerScience - 97,You explore the administration side,3,5,9,Entrepreneurship ,Finance,Yes,4 lpa,30,2,10 - 12 Lakhs,Self Employed ,LLM,20 lakhs,3,3,2,1,2,2,4
"Yes, I consent",20 - 22,Male,Dr Shyamaprasad Mukherjee College,B Com.,Marketing,80 - 90,No,Commerce - 80,70 - 80,Commerce - 85,Interest in Financial Market ,1,3,6,Trading ,Finance,Yes,2,28,2,7 - 10 Lakhs,Business,Graduate ,2 Lakhs,1,1,1,1,1,1,2
"Yes, I consent",18 - 20,Female,Iem ,BBA,Marketing,80 - 90,,English 85,80 - 90,English 90,Like bba ,3,3,8,Graphics designing,Na,No,5l,25,1,12 - 15 Lakhs,Business,Bcom,2l,3,3,3,3,3,3,3
"Yes, I consent",20 - 22,Female,St. XAVIERS UNIVERSITY ,BBA,Marketing,80 - 90,Not really at present,History- 97,90 - 100,BusinessStudies- 96,Interest in management ,3,3,7,Entrepreneurship ,Private sector,No,2.04 LPA,There is not really a specific benchmark for this as u are always a Learner but if asked 33 approximately.,2,3 -  7  Lakhs,"Businessman, private sector employee","Bcom, B.sc",15 lakhs,5,4,3,3,4,3,2
"Yes, I consent",18 - 20,Male,Asutosh College ,BA,Mass com ,50 - 60,"Football, anchoring ",English 91,70 - 80,Bstd - 82,I think I am extrovert so I can easily interact with strangers that's why I chose mass communication ,3,2,6,Entrepreneurship/ Central Government jobs/any kind of TV show,Central Government ,Maybe,10-13lakhs,24,1,7 - 10 Lakhs,Government Service,Graduation ,Don't know ,1,3,1,5,4,2,4
"Yes, I consent",20 - 22,Male,Techno India University,B Tech.,Mathematics,80 - 90,No,Biology - 89,80 - 90,Computer - 92,Lot of scope in the field,3,3,7,Entrepreneurship,Public Sector,No,Around 12 LPA,25,1,10 - 12 Lakhs,Job,B. Com,1,3,2,4,4,2,4,2
"Yes, I consent",20 - 22,Female,Sister Nivedita University ,B.Sc / BS,Mathematics ,80 - 90,Painting ,Mathematics - 91,80 - 90,Mathematics - 93,My interest in mathematics and becoming a teacher.,4,4,8,Teacher ,Private or public sector ,Maybe,1.8 lakhs,23-24,1,3 -  7  Lakhs,Ex serviceman ,12,2-5 lakhs,1,1,2,1,1,2,5
"Yes, I consent",20 - 22,Female,Narasinha Dutt College ,B.Sc / BS / BCA,Mathematics ,80 - 90,Singing ,Geography - 95,70 - 80,Mathematics - 63,I always wanted to study mathematics ,5,3,6,Teaching ,Public sector ,Yes,6 LPA,24,None,below 3 Lakhs,Retired,XII,1.5 lakhs,4,4,2,3,1,4,5
"Yes, I consent",20 - 22,Female,Acharya Jagadish Chandra Bose College ,B.Sc / BS / BCA,Mathematics ,80 - 90,Singing ,"Bengali-85 , Mathematics-77",80 - 90,"Bengali-94, English-88",I want to be a teacher and I like mathematics so I chosen this defree.,5,4,6,Teacher or Banking Job or Data Scientist ,IT sector or Public sector ,Maybe,6-12 lakhs,25,One,3 -  7  Lakhs,Private company employee ,B.A. Pass,4-5 lakhs,5,4,5,1,5,5,5
"Yes, I consent",20 - 22,Male,Acharya Jagadish Chandra Bose College ,B.Sc / BS / BCA,Mathematics ,70 - 80,,Science 80,80 - 90,Biology 86,To pursue data analyst in higher studies ,3,4,7,Data analyst,Public Sector,Yes,10 lakh ,25,2,7 - 10 Lakhs,Business,Higher Secondary ,4 lakhs,5,1,1,5,1,5,3
"Yes, I consent",18 - 20,Female,Jadavpur University ,B.Sc / BS / BCA,Mathematics ,80 - 90,No,Mathematics -99,80 - 90,Mathematics -99,I love that subject ,5,3,8,Banker ,Public sector ,No,10,25,1,3 -  7  Lakhs,Taxation consultant ,Graduation ,2,5,5,5,1,4,5,5
"Yes, I consent",22 - 25,Female,Scottish Church College ,B.Sc / BS / BCA,Mathematics ,90 - 100,"Dancing, recitation, drawing ",Mathematics -99,90 - 100,Mathematics -100,In depth knowledge ,4,2,7,Data scientist ,IT Sector ,Maybe,15,25,1,3 -  7  Lakhs,Service ,Graduate ,5,2,2,4,1,3,5,4
"Yes, I consent",18 - 20,Male,Netaji Subhash Engineering College ,B Tech.,"Mathematics, Computer Organisation, Analog Digital, Python, Economics ",90 - 100,Yes,"Mathematics = 95 , Chemistry = 96",80 - 90,"Physics= 100 , Mathematics= 94",Not any specification as such ,4,4,7,Software engineer ,IT sector,Yes,5-6,30,1,below 3 Lakhs,Service ,Graduation ,No assumption ,5,3,3,5,4,4,3
"Yes, I consent",22 - 25,Male,Institute of Business Management ,MBA,MBA Finance ,80 - 90,NA,Biological Science- 95,50 - 60,Biology- 75,To get a good job in corporate sector.,4,4,0,Entrepreneurship,Public sector,No,Depend on my Performance ( Aprox 7-8 LPA),After 30,1,3 -  7  Lakhs,Retired Govt. Employee ,M.sc.,4 lakhs,5,5,5,1,2,5,5
"Yes, I consent",18 - 20,Female,Kusum devi sunderlal dugar jain college ,BDS,Medical ,90 - 100,Dance,Biology - 94,80 - 90,Biology - 80,My family ,5,4,0,Doctor ,Public ,Maybe,4.2,27,2,3 -  7  Lakhs,Business ,Graduation ,10-20 ,5,4,4,3,5,5,5
"Yes, I consent",20 - 22,Male,Vijaygarh Jyotish Ray College,MSc / MS,Microbiology,90 - 100,Event Management & Speaker,Science - 93,80 - 90,Chemistry - 75,The past pandemic of COVID-19,4,4,8,Professor,Education,No,10,28,1,3 -  7  Lakhs,Business,Graduation,3-4 lakhs,1,1,4,2,1,4,4
"Yes, I consent",18 - 20,Female,THK JAIN,B.Sc / BS,Microbiology,90 - 100,,Biology-100,90 - 100,Psychology- 100,The promise of a wide scope of future possibilities,4,3,8,Forensic microbiologist,Public sector,Yes,2 LPA,24-25,3,7 - 10 Lakhs,Sales Manager,B.Com graduate,1-2 Lakhs,5,1,5,4,2,5,5
"Yes, I consent",18 - 20,Male,St. Paul's Cathedral Mission College,B.Sc / BS,Microbiology,80 - 90,Football,Mathematics-96,90 - 100,Math-85,Microbes,4,3,6,Microbiologist,Govt. Sector,No,6 lakh,24,1,3 -  7  Lakhs,Service,Graduate,1 lakh,1,1,2,5,1,3,4
"Yes, I consent",20 - 22,Male,Gurudas College,B.Sc / BS,Microbiology ,80 - 90,,History-82,70 - 80,Biology-80,My motivation was to bring positive disruption and opent the doors of research and innovation  in the realm of bioscience and microbiology ,5,5,6,Microbiologist ,Public sector ,No,3-4 lakhs ,40,One,below 3 Lakhs,Businessman ,B.Com,20 lakh ,5,1,5,5,5,5,5
"Yes, I consent",18 - 20,Female,Gurudas college ,B.Sc / BS,Microbiology ,80 - 90,"Yes, drawing",Biology-90,80 - 90,Biology-86,Learning about microbes and their effect on various significant field sound Prosperous to me. So I choose microbiology ,5,3,0,Scientist,Public sector,Yes,6,Beyond 30 or 35,2,3 -  7  Lakhs,Physiotherapist ,Graduate,1lakh,5,1,3,1,5,4,5
